id ,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
ACHILLE ES,BRYAN,ACHILLE,Public,25,1.000,0.000
ALEX ES,GRADY,ALEX,Public,23,1.000,0.000
ALLEN ES,PONTOTOC,ALLEN,Public,39,1.000,0.000
ALTUS EARLY CHILDHOOD CENTER,JACKSON,ALTUS,Public,238,1.000,0.000
BEAVER ES,BEAVER,BEAVER,Public,23,1.000,0.000
BELFONTE BELL ES (ADAIR CNTY),SEQUOYAH,BELFONTE,Public,17,1.000,0.000
BLAIR ES,JACKSON,BLAIR,Public,21,1.000,0.000
BOISE CITY ES,CIMARRON,BOISE CITY,Public,19,1.000,0.000
CALVIN ES,HUGHES,CALVIN,Public,16,1.000,0.000
CAMERON ES,LEFLORE,CAMERON,Public,28,1.000,0.000
CARNEGIE ES (CADDO COUNTY),CADDO,CARNEGIE,Public,43,1.000,0.000
CLAREMONT ES,ROGERS,CLAREMORE,Public,75,1.000,0.000
COOLIDGE ES (GARFIELD COUNTY),GARFIELD,ENID,Public,73,1.000,0.000
CORDELL ES,WASHITA,CORDELL,Public,42,1.000,0.000
CROWDER ES,PITTSBURG,CROWDER,Public,26,1.000,0.000
ELMORE CITY-PERNELL ES,GARVIN,ELMORE CITY-PERNELL,Public,25,1.000,0.000
FANSHAWE PUBLIC SCHOOL,LE FLORE,FANSHAWE,Public,11,1.000,0.000
FLETCHER ES,COMANCHE,FLETCHER,Public,39,1.000,0.000
FOREST GROVE PUBLIC SCHOOL,MCCURTAIN,FOREST GROVE,Public,23,1.000,0.000
FOYIL ES,ROGERS,FOYIL,Public,34,1.000,0.000
GATEWOOD ES,OKLAHOMA,OKLAHOMA CITY,Public,21,1.000,0.000
HOLLY CREEK PUBLIC SCHOOL,MCCURTAIN,HOLLY CREEK,Public,21,1.000,0.000
HOOKER ES (TEXAS COUNTY),TEXAS,HOOKER,Public,44,1.000,0.000
HULBERT ES,CHEROKEE,HULBERT,Public,36,1.000,0.000
INDIANOLA ES,PITTSBURG,INDIANOLA,Public,12,1.000,0.000
JAY ES,DELAWARE,JAY,Public,119,1.000,0.017
KINTA ES,HASKELL,KINTA,Public,16,1.000,0.000
LEEDEY ES,ROGER MILLS,LEEDEY,Public,12,1.000,0.000
LEFLORE ES,LE FLORE,LE FLORE,Public,21,1.000,0.000
LITTLE AXE ES,CLEVELAND,LITTLE AXE,Public,97,1.000,0.000
LOMEGA ES,KINGFISHER,LOMEGA,Public,10,1.000,0.000
MANNFORD EC CTR,CREEK,MANNFORD,Public,89,1.000,0.000
MANNSVILLE PUBLIC SCHOOL,JOHNSTON,MANNSVILLE,Public,11,1.000,0.000
MAUD ES,POTTAWATOMIE,MAUD,Public,20,1.000,0.100
MAZIE ES,MAYES,CHOUTEAU-MAZIE,Public,12,1.000,0.000
MCCURTAIN ES,HASKELL,MCCURTAIN,Public,16,1.000,0.000
MCKINLEY ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,50,1.000,0.000
MCMURRAY ES,WASHITA,SENTINEL,Public,21,1.000,0.000
MEDFORD ES,GRANT,MEDFORD,Public,26,1.000,0.000
MONROE ES (GARFIELD COUNTY),GARFIELD,ENID,Public,58,1.000,0.000
OAKES ES,OKFUSKEE,OKEMAH,Public,65,1.000,0.000
OKAY ES,WAGONER,OKAY,Public,26,1.000,0.000
OKEENE ES,BLAINE,OKEENE,Public,23,1.000,0.000
OLIVE ES,CREEK,OLIVE,Public,15,1.000,0.000
OSAGE HILLS PUBLIC SCHOOL,OSAGE,OSAGE HILLS,Public,19,1.000,0.000
PAWNEE ES,PAWNEE,PAWNEE,Public,54,1.000,0.000
PITTSBURG ES,PITTSBURG,PITTSBURG,Public,10,1.000,0.000
PLEASANT GROVE PUBLIC SCHOOL,POTTAWATOMIE,PLEASANT GROVE,Public,29,1.000,0.000
RATTAN ES,PUSHMATAHA,RATTAN,Public,39,1.000,0.000
ROFF ES,PONTOTOC,ROFF,Public,20,1.000,0.000
Sacred Heart Catholic School,CANADIAN,OCCSAA,Private,12,1.000,0.000
SAVANNA ES,PITTSBURG,SAVANNA,Public,27,1.000,0.000
SCHULTER ES,OKMULGEE,SCHULTER,Public,11,1.000,0.000
SEILING ES,DEWEY,SEILING,Public,40,1.000,0.000
SEQUOYAH ES (ROGERS COUNTY),ROGERS,SEQUOYAH,Public,87,1.000,0.000
SHADY GROVE PUBLIC SCHOOL,CHEROKEE,SHADY GROVE,Public,15,1.000,0.000
SPENCE MEMORIAL ES,OKFUSKEE,WELEETKA,Public,31,1.000,0.000
St. Catherine Catholic School,TULSA,OCCSAA,Private,14,1.000,0.000
St. Elizabeth Ann Seton Catholic School,OKLAHOMA,OCCSAA,Private,38,1.000,0.000
St. John Nepomuk Catholic School,CANADIAN,OCCSAA,Private,16,1.000,0.000
St. Mary Catholic School,KAY,OCCSAA,Private,16,1.000,0.000
St. Mary's Episcopal School,OKLAHOMA,SAES,Private,21,1.000,0.000
St. Philip Neri Catholic School,OKLAHOMA,OCCSAA,Private,19,1.000,0.000
St. Pius X Catholic School,TULSA,OCCSAA,Private,22,1.000,0.000
STILWELL ES,ADAIR,STILWELL,Public,58,1.000,0.000
SWINK PUBLIC SCHOOL,CHOCTAW,SWINK,Public,22,1.000,0.000
TAFT ES,GARFIELD,ENID,Public,47,1.000,0.000
TALIHINA ES,LE FLORE,TALIHINA,Public,46,1.000,0.000
TANNEHILL PUBLIC SCHOOL,PITTSBURG,TANNEHILL,Public,14,1.000,0.000
TIMBERLAKE ES,ALFALFA,TIMBERLAKE,Public,35,1.000,0.000
TIPTON ES,TILLMAN,TIPTON,Public,14,1.000,0.000
TONKAWA ES,KAY,TONKAWA,Public,76,1.000,0.000
TYRONE ES,TEXAS,TYRONE,Public,18,1.000,0.000
