id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
Regent Preparatory School of Oklahoma,TULSA,ACCS,Private,50,0.780,0.240
OKLAHOMA CONNECTIONS ACAD ES,OKLAHOMA,N/A,Charter,52,0.769,0.212
EPIC BLENDED CHARTER OKC TULSA ES,OKLAHOMA,N/A,Charter,562,0.660,0.206
VICI ES,DEWEY,VICI,Public,20,0.650,0.150
Victory Life Academy,BRYAN,"ICAA, AdvancED",Private,14,0.357,0.143
Riverfield Country Day school,TULSA,ISAS,Private,37,0.676,0.135
Community Christian School,CLEVELAND,"ACTS, AdvancED",Private,39,0.769,0.128
STRATFORD ES,GARVIN,STRATFORD,Public,48,0.750,0.125
MOORELAND ES,WOODWARD,MOORELAND,Public,35,0.257,0.114
Undercroft Montessori School,TULSA,"AdvancED, AMS",Private,39,0.641,0.103
PRETTY WATER PUBLIC SCHOOL,CREEK,PRETTY WATER,Public,30,0.767,0.100
NORTHERN HILLS ES,OKLAHOMA,EDMOND,Public,114,0.798,0.096
CADDO ES,BRYAN,CADDO,Public,21,0.762,0.095
St. Joseph Catholic School,MUSKOGEE,OCCSAA,Private,12,0.667,0.083
Immanuel Lutheran Christian Academy,TULSA,NLSA,Private,13,0.769,0.077
HERITAGE ES (OKLAHOMA COUNTY),OKLAHOMA,EDMOND,Public,109,0.697,0.073
MCKINLEY ES (GARFIELD COUNTY),GARFIELD,ENID,Public,56,0.768,0.071
FAIRLAND ES,OTTAWA,FAIRLAND,Public,62,0.581,0.065
DUAL LANGUAGE ACADEMY,TULSA,TULSA,Public,49,0.755,0.061
WATTS ES,ADAIR,WATTS,Public,17,0.647,0.059
LIBERTY PUBLIC SCHOOL,SEQUOYAH,LIBERTY,Public,36,0.750,0.056
IDA FREEMAN ES,OKLAHOMA,EDMOND,Public,73,0.699,0.055
Altus Christian Academy,JACKSON,ACSI,Private,20,0.050,0.050
OVERHOLSER ES,OKLAHOMA,PUTNAM CITY,Public,81,0.716,0.049
LEE ES (TULSA COUNTY),TULSA,TULSA,Public,68,0.779,0.044
JENNINGS PUBLIC SCHOOL,PAWNEE,JENNINGS,Public,24,0.667,0.042
BERRYHILL ES SOUTH,TULSA,BERRYHILL,Public,83,0.723,0.036
VERDIGRIS ES,ROGERS,VERDIGRIS,Public,104,0.750,0.029
ROBIN HILL PUBLIC SCHOOL,CLEVELAND,ROBIN HILL,Public,37,0.784,0.027
WOODLAND HILLS ES,COMANCHE,LAWTON,Public,75,0.627,0.027
JOHN ROSS ES,OKLAHOMA,EDMOND,Public,119,0.782,0.025
THOMAS ES,CUSTER,THOMAS-FAY-CUSTER UNIFIED DIST,Public,41,0.634,0.024
WHITTIER ES (LAWTON COUNTY),COMANCHE,LAWTON,Public,41,0.561,0.024
QUAPAW ES,OTTAWA,QUAPAW,Public,43,0.791,0.023
BARNES ES (OKLAHOMA COUNTY),OKLAHOMA,MIDWEST CITY-DEL CITY,Public,49,0.776,0.020
CUSHING LOWER ES,PAYNE,CUSHING,Public,154,0.364,0.019
MARK TWAIN ES (TULSA COUNTY),TULSA,TULSA,Public,53,0.736,0.019
MACARTHUR ES,TULSA,TULSA,Public,54,0.796,0.019
WEST FIELD ES,OKLAHOMA,EDMOND,Public,108,0.741,0.019
BRIDGE CREEK EARLY CHILDHOOD,GRADY,BRIDGE CREEK,Public,119,0.756,0.017
PIEDMONT ES,CANADIAN,PIEDMONT,Public,120,0.717,0.017
RIDGECREST ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,75,0.667,0.013
ECDC BUNCHE,TULSA,TULSA,Public,76,0.776,0.013
WILL ROGERS ES (STILLWATER),PAYNE,STILLWATER,Public,92,0.739,0.011
NORTHWOOD ES,CANADIAN,PIEDMONT,Public,113,0.770,0.009
MULHALL-ORLANDO ES,LOGAN,MULHALL-ORLANDO,Public,14,0.786,0
ROSE UNION ES,OKLAHOMA,DEER CREEK,Public,60,0.783,0
St. Mary Catholic School Guthrie,LOGAN,OCCSAA,Private,23,0.783,0
CLINTON WEST ES,TULSA,TULSA,Public,78,0.782,0
SANTA FE SOUTH HILLS ES,OKLAHOMA,N/A,Charter,87,0.782,0
CRUTCHO PUBLIC SCHOOL,OKLAHOMA,CRUTCHO,Public,32,0.781,0
CAPITOL HILL ES,OKLAHOMA,OKLAHOMA CITY,Public,72,0.778,0
HAILEYVILLE ES,PITTSBURG,HAILEYVILLE,Public,18,0.778,0
SHARON-MUTUAL ES,WOODWARD,SHARON-MUTUAL,Public,18,0.778,0
OLUSTEE-ELDORADO ES,JACKSON,OLUSTEE-ELDORADO,Public,17,0.765,0
KEY ES,TULSA,TULSA,Public,38,0.763,0
HARVEST HILLS ES,OKLAHOMA,PUTNAM CITY,Public,59,0.763,0
KIOWA ES,PITTSBURG,KIOWA,Public,16,0.750,0
MARSHALL ES (TULSA COUNTY),TULSA,TULSA,Public,16,0.750,0
MIDWAY ES,MCINTOSH,MIDWAY,Public,16,0.750,0
STRINGTOWN ES,ATOKA,STRINGTOWN,Public,12,0.750,0
KREMLIN-HILLSDALE ES,GARFIELD,KREMLIN-HILLSDALE,Public,19,0.737,0
PRUE ES,OSAGE,PRUE,Public,33,0.727,0
TENKILLER PUBLIC SCHOOL,CHEROKEE,TENKILLER,Public,29,0.724,0
CHEROKEE ES (ALFALFA COUNTY),ALFALFA,CHEROKEE,Public,36,0.722,0
OAKRIDGE ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,32,0.719,0
