id,County,District,School Type,Kindergarteners_with_Vaccination_Record,value,Exempt Rate
ACADEMY CENTRAL ES,TULSA,TULSA,Public,62,0.806,0.016
ACHILLE ES,BRYAN,ACHILLE,Public,25,1.000,0.000
ADA EC CTR,PONTOTOC,ADA,Public,196,0.959,0.000
ADAMS ES (CLEVELAND COUNTY),CLEVELAND,NORMAN,Public,101,0.950,0.000
ADAMS ES (COMANCHE COUNTY),COMANCHE,LAWTON,Public,29,0.862,0.000
ADAMS ES (GARFIELD COUNTY),GARFIELD,ENID,Public,48,0.979,0.000
ADAMS ES (OKLAHOMA COUNTY),OKLAHOMA,OKLAHOMA CITY,Public,71,0.986,0.000
ALBION PUBLIC SCHOOL,PUSHMATAHA,ALBION,Public,*,*,*
ALEX ES,GRADY,ALEX,Public,23,1.000,0.000
ALEXANDER ES,OTTAWA,COMMERCE,Public,69,0.986,0.000
ALINE-CLEO ES,MAJOR,ALINE-CLEO,Public,12,0.917,0.083
ALLEN ES,PONTOTOC,ALLEN,Public,39,1.000,0.000
ALLEN-BOWDEN PUBLIC SCHOOL,CREEK,ALLEN-BOWDEN,Public,32,0.969,0.000
ALMOR WEST ES,COMANCHE,LAWTON,Public,42,0.952,0.024
Altus Christian Academy,JACKSON,ACSI,Private,20,0.050,0.050
ALTUS EARLY CHILDHOOD CENTER,JACKSON,ALTUS,Public,238,1.000,0.000
AMBER-POCASSET ES,GRADY,AMBER-POCASSET,Public,30,0.833,0.033
ANDERSEN ES (UNION SCHOOL DISTRICT),TULSA,UNION,Public,55,0.909,0.036
ANDERSON ES (TULSA SCHOOL DISTRICT),TULSA,TULSA,Public,39,0.872,0.026
ANGIE DEBO ES,OKLAHOMA,EDMOND,Public,144,0.688,0.000
ANGUS VALLEY ES,TULSA,SAND SPRINGS,Public,85,0.871,0.047
APACHE ES,CADDO,BOONE-APACHE,Public,34,0.676,0.000
APOLLO ES,OKLAHOMA,PUTNAM CITY,Public,78,0.897,0.013
APPLE CREEK ES,CLEVELAND,MOORE,Public,77,0.870,0.039
ARAPAHO-BUTLER ES,CUSTER,ARAPAHO-BUTLER,Public,36,0.667,0.000
ARBOR GROVE ES,OKLAHOMA,PUTNAM CITY,Public,85,0.941,0.012
Ardmore Adventist Academy,CARTER,NA,Private,*,*,*
ARNETT ES,ELLIS,ARNETT,Public,*,*,*
ARROWHEAD ES,TULSA,BROKEN ARROW,Public,83,0.928,0.048
ART GOAD ES,ROGERS,CHELSEA,Public,72,0.903,0.056
ARTHUR ES,OKLAHOMA,OKLAHOMA CITY,Public,93,0.527,0.000
ASHER ES,POTTAWATOMIE,ASHER,Public,21,0.952,0.000
ASPEN CREEK ES,TULSA,BROKEN ARROW,Public,113,0.947,0.035
ATOKA ES,ATOKA,ATOKA,Public,54,0.907,0.037
