id,County,District,Type,Kindergarteners_with_Vaccination,value,exempt
Achille ES,Bryan,Achille,Public,25,1,0
Alex ES (Grady County),Grady,Alex,Public,23,1,0
Allen ES,Pontotoc,Allen,Public,39,1,0
Altus Early Childhood Center,Jackson,Altus,Public,238,1,0
Beaver ES,Beaver,Beaver,Public,23,1,0
Belfonte Bell ES (Adair County),Sequoyah,Belfonte,Public,17,1,0
Blair ES,Jackson,Blair,Public,21,1,0
Boise City ES,Cimarron,Boise City,Public,19,1,0
Will Rogers ES (Burns Flat-Dill City District),Washita,Burns Flat-Dill City,Public,37,1,0
Calvin ES,Hughes,Calvin,Public,16,1,0
Cameron ES,Le Flore,Cameron,Public,28,1,0
Carnegie ES (Caddo County),Caddo,Carnegie,Public,43,1,0
Mazie ES,Mayes,Chouteau-Mazie,Public,12,1,0
Claremont ES,Rogers,Claremore,Public,75,1,0
Cordell ES,Washita,Cordell,Public,42,1,0
Crowder ES,Pittsburg,Crowder,Public,26,1,0
Elmore City-Pernell ES,Garvin,Elmore City-Pernell,Public,25,1,0
Coolidge ES (Garfield County),Garfield,Enid,Public,73,1,0
Monroe ES (Garfield County),Garfield,Enid,Public,58,1,0
Taft ES,Garfield,Enid,Public,47,1,0
FanShawe Public School,Le Flore,Fanshawe,Public,11,1,0
Fletcher ES,Comanche,Fletcher,Public,39,1,0
Forest Grove Public School,McCurtain,Forest Grove,Public,23,1,0
Foyil ES,Rogers,Foyil,Public,34,1,0
Holly Creek Public School,McCurtain,Holly Creek,Public,21,1,0
Hooker ES,Texas,Hooker,Public,44,1,0
Hulbert ES,Cherokee,Hulbert,Public,36,1,0
Indianola ES,Pittsburg,Indianola,Public,12,1,0
Jay ES,Delaware,Jay,Public,119,1,0.02
Kinta ES,Haskell,Kinta,Public,16,1,0
Leflore ES,Le Flore,Le Flore,Public,21,1,0
Leedey ES,Roger Mills,Leedey,Public,12,1,0
Little Axe ES,Cleveland,Little Axe,Public,97,1,0
Lomega ES,Kingfisher,Lomega,Public,10,1,0
Mannford Early Childhood Center,Creek,Mannford,Public,89,1,0
Mannsville Public School,Johnston,Mannsville,Public,11,1,0
Maud ES,Pottawatomie,Maud,Public,20,1,0.1
McCurtain ES,Haskell,McCurtain,Public,16,1,0
Medford ES,Grant,Medford,Public,26,1,0
Wilson ES (Ottawa County),Ottawa,Miami,Public,24,1,0
McKinley ES (Cleveland County),Cleveland,Norman,Public,50,1,0
Sacred Heart Catholic School,Canadian,Occsaa,Private,12,1,0
St. John Nepomuk Catholic School,Canadian,Occsaa,Private,16,1,0
St. Mary Catholic School,Kay,Occsaa,Private,16,1,0
St. Elizabeth Ann Seton Catholic School,Oklahoma,Occsaa,Private,38,1,0
St. Philip Neri Catholic School,Oklahoma,Occsaa,Private,19,1,0
St. Catherine Catholic School,Tulsa,Occsaa,Private,14,1,0
St. Pius X Catholic School,Tulsa,Occsaa,Private,22,1,0
Okay ES,Wagoner,Okay,Public,26,1,0
Okeene ES,Blaine,Okeene,Public,23,1,0
Oakes ES,Okfuskee,Okemah,Public,65,1,0
Gatewood ES,Oklahoma,Oklahoma City,Public,21,1,0
West Nichols Hills ES,Oklahoma,Oklahoma City,Public,60,1,0
Olive ES,Creek,Olive,Public,15,1,0
Osage Hills Public Schools,Osage,Osage Hills,Public,19,1,0
Pawnee ES,Pawnee,Pawnee,Public,54,1,0
Pittsburg ES,Pittsburg,Pittsburg,Public,10,1,0
Pleasant Grove Public School,Pottawatomie,Pleasant Grove,Public,29,1,0
Rattan ES,Pushmataha,Rattan,Public,39,1,0
Roff ES,Pontotoc,Roff,Public,20,1,0
St. Mary's Episcopal School,Oklahoma,Saes,Private,21,1,0
Savanna ES,Pittsburg,Savanna,Public,27,1,0
Schulter ES,Okmulgee,Schulter,Public,11,1,0
Seiling ES,Dewey,Seiling,Public,40,1,0
ES McMurray ES,Washita,Sentinel,Public,21,1,0
Sequoyah ES (Rogers County),Rogers,Sequoyah,Public,87,1,0
Shady Grove Public School,Cherokee,Shady Grove,Public,15,1,0
Stilwell ES,Adair,Stillwell,Public,58,1,0
Swink Public School,Choctaw,Swink,Public,22,1,0
Talihina ES,Le Flore,Talihina,Public,46,1,0
Tannehill Public School,Pittsburg,Tannehill,Public,14,1,0
Timberlake ES,Alfalfa,Timberlake,Public,35,1,0
